sample	individual	project
HG002	HG002	hprc
HG005	HG005	hprc
HG00096	HG00096	eichler
HG00171	HG00171	eichler
HG00438	HG00438	hprc
HG00512	HG00512	eichler
HG00513	HG00513	eichler
HG00514	HG00514	eichler
HG00621	HG00621	hprc
HG00673	HG00673	hprc
HG00731	HG00731	eichler
HG00732	HG00732	eichler
HG00733	HG00733	hprc
HG00735	HG00735	hprc
HG00741	HG00741	hprc
HG00864	HG00864	eichler
HG01071	HG01071	hprc
HG01106	HG01106	hprc
HG01109	HG01109	hprc
HG01114	HG01114	eichler
HG01123	HG01123	hprc
HG01175	HG01175	hprc
HG01243	HG01243	hprc
HG01258	HG01258	hprc
HG01358	HG01358	hprc
HG01361	HG01361	hprc
HG01505	HG01505	eichler
HG01596	HG01596	eichler
HG01891	HG01891	hprc
HG01928	HG01928	hprc
HG01952	HG01952	hprc
HG01978	HG01978	hprc
HG02011	HG02011	eichler
HG02055	HG02055	hprc
HG02080	HG02080	hprc
HG02109	HG02109	hprc
HG02145	HG02145	hprc
HG02148	HG02148	hprc
HG02257	HG02257	hprc
HG02486	HG02486	hprc
HG02492	HG02492	eichler
HG02559	HG02559	hprc
HG02572	HG02572	hprc
HG02587	HG02587	eichler
HG02622	HG02622	hprc
HG02630	HG02630	hprc
HG02717	HG02717	hprc
HG02723	HG02723	hprc
HG02818	HG02818	hprc
HG02886	HG02886	hprc
HG03009	HG03009	eichler
HG03065	HG03065	eichler
HG03098	HG03098	hprc
HG03125	HG03125	eichler
HG03371	HG03371	eichler
HG03453	HG03453	hprc
HG03486	HG03486	hprc
HG03492	HG03492	hprc
HG03516	HG03516	hprc
HG03540	HG03540	hprc
HG03579	HG03579	hprc
HG03683	HG03683	eichler
HG03732	HG03732	eichler
NA12329	NA12329	eichler
NA12878	NA12878	eichler
NA18534	NA18534	eichler
NA18906	NA18906	hprc
NA18939	NA18939	eichler
NA19238	NA19238	eichler
NA19239	NA19239	eichler
NA19240	NA19240	hprc
NA19650	NA19650	eichler
NA19983	NA19983	eichler
NA20129	NA20129	hprc
NA20509	NA20509	eichler
NA20847	NA20847	eichler
NA21309	NA21309	hprc
NA24385	NA24385	eichler
PGP1	PGP1	li
ei:HG00733	HG00733	eichler
ei:HG02818	HG02818	eichler
ei:HG03486	HG03486	eichler
ei:NA19240	NA19240	eichler
li:HG00733	HG00733	li
li:NA12878	NA12878	li
li:NA24385	NA24385	li
