sample	var_count	new_count	tot_captured	pct_captured
NA19238	162275	162275	162275	0.0665
NA19239	159936	116650	278925	0.1143
HG02587	158951	98441	377366	0.1546
HG03065	159175	85707	463073	0.1898
HG00514	136780	77136	540209	0.2214
HG03371	158015	70949	611158	0.2505
NA21309	150836	65694	676852	0.2774
NA19983	156371	61056	737908	0.3024
HG03486	156729	56749	794657	0.3257
HG02011	155445	53324	847981	0.3475
NA19650	135605	49949	897930	0.368
HG03453	157612	48434	946364	0.3878
HG01596	135031	45186	991550	0.4063
HG03125	155989	44205	1035755	0.4245
HG02630	156146	41710	1077465	0.4416
NA20847	136961	40534	1117999	0.4582
HG03098	152005	38494	1156493	0.4739
HG03009	136857	37585	1194078	0.4893
ei:HG02818	154245	36359	1230437	0.5042
NA20509	133626	35332	1265769	0.5187
HG01891	155616	34484	1300253	0.5329
HG01114	134241	33148	1333401	0.5464
HG03516	155786	32556	1365957	0.5598
HG02109	153284	31408	1397365	0.5727
NA18534	134948	30833	1428198	0.5853
HG02723	155100	29962	1458160	0.5976
HG03732	135212	29299	1487459	0.6096
NA18906	155784	28634	1516093	0.6213
HG03540	154883	27578	1543671	0.6326
NA18939	135465	27187	1570858	0.6438
HG02055	149362	26591	1597449	0.6547
HG01505	133803	26110	1623559	0.6654
HG02622	155346	25797	1649356	0.6759
HG03579	150849	25080	1674436	0.6862
HG02145	148203	24505	1698941	0.6962
HG00096	132639	24208	1723149	0.7062
HG02886	155141	23864	1747013	0.7159
HG00864	135086	23534	1770547	0.7256
HG03683	136780	23087	1793634	0.735
HG02257	153347	22892	1816526	0.7444
HG02559	154718	22433	1838959	0.7536
NA20129	151816	21941	1860900	0.7626
HG02492	134072	21538	1882438	0.7714
HG02572	148380	21120	1903558	0.7801
HG00171	133371	21004	1924562	0.7887
HG02717	149429	20476	1945038	0.7971
HG00732	131112	20338	1965376	0.8054
HG02486	148606	19688	1985064	0.8135
HG00512	134851	19521	2004585	0.8215
NA12329	133372	18601	2023186	0.8291
HG01243	142657	18379	2041565	0.8367
li:NA24385	128265	17908	2059473	0.844
HG01109	140390	17427	2076900	0.8511
HG00513	135460	17232	2094132	0.8582
HG00731	132576	16859	2110991	0.8651
ei:NA19240	162101	16572	2127563	0.8719
PGP1	124931	15891	2143454	0.8784
HG02080	129149	15660	2159114	0.8848
HG03492	127069	15269	2174383	0.8911
HG00438	129033	14830	2189213	0.8972
li:NA12878	126281	14236	2203449	0.903
HG01175	131125	13988	2217437	0.9087
HG00741	132160	13726	2231163	0.9144
HG005	124373	13579	2244742	0.9199
HG01071	130957	13248	2257990	0.9253
HG00621	124620	13123	2271113	0.9307
HG01978	126203	12759	2283872	0.936
HG00735	132573	12443	2296315	0.9411
HG00673	123913	12334	2308649	0.9461
HG01361	130833	12224	2320873	0.9511
HG01123	131379	11959	2332832	0.956
HG01258	125060	11241	2344073	0.9606
HG01106	127271	11002	2355075	0.9651
HG01952	121025	10662	2365737	0.9695
HG01358	124787	10457	2376194	0.9738
HG02148	122848	9714	2385908	0.9778
HG01928	118270	9097	2395005	0.9815
ei:HG00733	134844	7885	2402890	0.9847
li:HG00733	129431	6242	2409132	0.9873
NA19240	154752	5903	2415035	0.9897
NA24385	127164	5454	2420489	0.9919
ei:HG03486	156907	5318	2425807	0.9941
NA12878	125664	4669	2430476	0.996
HG02818	154327	4403	2434879	0.9978
HG00733	127876	2678	2437557	0.9989
HG002	125201	2597	2440154	1.0
