sample	var_count	new_count	tot_captured	pct_captured
HG02587	10070237	10070237	10070237	0.1025
HG00514	9718075	6628016	16698253	0.17
HG01596	9429113	5014104	21712357	0.221
HG01114	9156864	4472234	26184591	0.2665
ei:NA19240	9256468	3962903	30147494	0.3069
NA19650	8965992	3715909	33863403	0.3447
NA20509	8514648	3104103	36967506	0.3763
HG03065	8643866	2860095	39827601	0.4054
HG01505	8189693	2686284	42513885	0.4327
HG03371	8623441	2536481	45050366	0.4585
NA18534	8138346	2463830	47514196	0.4836
NA20847	8101615	2264748	49778944	0.5067
NA19239	9046519	2186447	51965391	0.5289
HG00512	8086655	2122124	54087515	0.5505
HG03732	7939610	2098388	56185903	0.5719
NA19238	8939165	1987668	58173571	0.5921
HG03009	8064328	1897241	60070812	0.6114
NA18939	7786411	1857330	61928142	0.6303
HG02011	8322314	1804510	63732652	0.6487
HG00513	7813623	1690301	65422953	0.6659
HG00864	7675276	1619869	67042822	0.6824
HG00171	7585714	1573510	68616332	0.6984
HG00096	7540484	1513644	70129976	0.7138
NA19983	8162871	1401941	71531917	0.7281
HG02492	7364795	1339173	72871090	0.7417
HG00731	7360375	1249736	74120826	0.7544
HG00732	7150840	1206285	75327111	0.7667
HG03683	7258088	1158661	76485772	0.7785
NA12329	7274295	1143847	77629619	0.7901
ei:HG03486	7398524	1041331	78670950	0.8007
ei:HG00733	7358432	977988	79648938	0.8107
HG03125	7435823	920609	80569547	0.8201
HG03098	7051871	845314	81414861	0.8287
ei:HG02818	7345266	802019	82216880	0.8368
NA21309	6939994	742723	82959603	0.8444
HG03453	7203822	648128	83607731	0.851
HG02109	7066681	603507	84211238	0.8571
PGP1	6272293	576991	84788229	0.863
HG02145	6878166	564646	85352875	0.8688
HG02723	7167145	536317	85889192	0.8742
li:NA24385	6310451	530554	86419746	0.8796
NA18906	7102987	514782	86934528	0.8849
HG02572	6797208	492508	87427036	0.8899
HG03516	7071499	452220	87879256	0.8945
li:HG00733	6431201	444887	88324143	0.899
li:NA12878	6144525	428119	88752262	0.9034
HG02055	6919501	426539	89178801	0.9077
HG03579	6885193	411043	89589844	0.9119
HG02630	7169811	398886	89988730	0.9159
HG02559	7117113	384665	90373395	0.9199
HG02257	7009851	373981	90747376	0.9237
HG01891	7066738	348674	91096050	0.9272
HG03540	7093939	342451	91438501	0.9307
NA20129	7024337	334585	91773086	0.9341
HG02886	7096329	321823	92094909	0.9374
HG01109	6525206	316475	92411384	0.9406
HG01243	6592955	307754	92719138	0.9437
HG02486	6777311	291797	93010935	0.9467
HG02622	7020566	282839	93293774	0.9496
NA24385	6061555	277490	93571264	0.9524
HG02080	6009127	269251	93840515	0.9551
HG01071	6129850	256976	94097491	0.9578
HG03492	5886399	252179	94349670	0.9603
HG02717	6830413	244648	94594318	0.9628
HG01952	5706802	242145	94836463	0.9653
HG00438	5892548	229506	95065969	0.9676
NA12878	6042905	228205	95294174	0.9699
HG01123	6127891	219428	95513602	0.9722
HG00741	6140140	210979	95724581	0.9743
HG005	5682730	207733	95932314	0.9764
HG01258	5783180	204701	96137015	0.9785
HG00621	5749669	201606	96338621	0.9806
HG01978	5830400	199781	96538402	0.9826
HG01175	6061777	188851	96727253	0.9845
HG00735	6146591	184498	96911751	0.9864
HG00673	5706048	179862	97091613	0.9882
HG01358	5777691	175202	97266815	0.99
HG01361	6005499	164830	97431645	0.9917
HG02148	5655746	153025	97584670	0.9933
HG01928	5519146	138475	97723145	0.9947
HG01106	5789673	135251	97858396	0.996
HG02818	7110817	105548	97963944	0.9971
NA19240	7124974	87669	98051613	0.998
HG03486	7280007	74521	98126134	0.9988
HG00733	5930326	70268	98196402	0.9995
HG002	5801421	50944	98247346	1.0
