sample	project	n_contigs_maternal_hap	n50_maternal_hap	n_contigs_paternal_hap2	n50_paternal_hap2	mat	pat	mat_1x	pat_1x	diploid	auto	chrX	final	sex	chrY	PARchrX	genome_pct
HG00096	eichler	2185	28196602	2263	28826430	2808469199.0	2809934367.0	2797556789.0	2800616032.0	2820856748.0	2619006833.0	3674829.0	2631126382.0	M	5840979.0	2603741.0	0.8999254355070588
HG00171	eichler	2482	29266314	2452	29317192	2791487793.0	2790161959.0	2782281332.0	2781408930.0	2799954195.0	2614603549.0	149094151.0	2763697700.0	F			0.9452688678496011
HG00512	eichler	2059	34034176	1978	33035505	2811607899.0	2811851513.0	2801929101.0	2802222817.0	2827000864.0	2618403187.0	3985809.0	2630728252.0	M	5781870.0	2557386.0	0.8997892629096156
HG00513	eichler	2217	32808699	2210	33230349	2792038441.0	2794241515.0	2782183491.0	2785313009.0	2802303505.0	2616113343.0	149075457.0	2765188800.0	F			0.9457788695074707
HG00514	eichler	2716	19803657	2501	20521109	2786776758.0	2785955356.0	2777441354.0	2776185110.0	2796884825.0	2607639052.0	149095233.0	2756734285.0	F			0.9428871676320205
HG00731	eichler	2059	31867613	2041	33456246	2809087589.0	2810875140.0	2799467489.0	2800424691.0	2819531304.0	2619848409.0	1216891.0	2627042091.0	M	3406334.0	2570457.0	0.8985284834708291
HG00732	eichler	1859	29689724	1686	30968458	2791385478.0	2698624526.0	2780105326.0	2687881136.0	2797347215.0	2521411629.0	149227618.0	2670639247.0	F			0.91344003993143
HG00733	eichler	1624	38077117	1630	33284683	2799026213.0	2797935618.0	2787549352.0	2786938847.0	2803528368.0	2621577715.0	149375533.0	2770953248.0	F			0.9477504864591865
HG00864	eichler	2389	28082534	2368	28104570	2796059656.0	2795877782.0	2786159361.0	2785666125.0	2803536839.0	2619274314.0	148977220.0	2768251534.0	F			0.94682641790638
HG01114	eichler	2937	19630063	3017	17148525	2780463136.0	2779093381.0	2771353714.0	2770023128.0	2789549188.0	2603248623.0	148579031.0	2751827654.0	F			0.941208950245826
HG01505	eichler	2526	28512550	2647	28185449	2811005921.0	2809783876.0	2799280228.0	2798827760.0	2820610054.0	2617875927.0	2172556.0	2627317803.0	M	4618700.0	2650620.0	0.8986227853802212
HG01596	eichler	3422	17806305	3515	19077094	2799172261.0	2797062609.0	2789671139.0	2788944280.0	2811980617.0	2609428143.0	3424305.0	2621738552.0	M	6274306.0	2611798.0	0.8967145114484455
HG02011	eichler	1832	36968009	1998	32098510	2812611611.0	2811568537.0	2804193821.0	2801487137.0	2822278571.0	2623430105.0	1878543.0	2631728428.0	M	3856678.0	2563102.0	0.9001313535931119
HG02492	eichler	1804	38136910	1906	34063570	2810836756.0	2812429559.0	2798332796.0	2799423515.0	2817927623.0	2621373080.0	1890132.0	2627174489.0	M	2962751.0	948526.0	0.8985737676231319
HG02587	eichler	3604	21553259	3511	20087019	2784704362.0	2785333838.0	2775498106.0	2776867636.0	2795762974.0	2607611646.0	148959857.0	2756571503.0	F			0.9428314912254271
HG02818	eichler	7600	14450795	7540	15223809	2800656130.0	2801626401.0	2782177035.0	2785065250.0	2808758350.0	2610432984.0	147995388.0	2758428372.0	F			0.9434665970321784
HG03009	eichler	2071	27727038	2251	28343499	2804848627.0	2805568576.0	2793245151.0	2795744784.0	2817979710.0	2613252402.0	3879127.0	2625069726.0	M	5354974.0	2583223.0	0.8978538745110518
HG03065	eichler	2029	32118279	2042	33102449	2810137545.0	2807944038.0	2799714943.0	2796711617.0	2819839421.0	2619188509.0	3883974.0	2631380239.0	M	5714264.0	2593492.0	0.9000122623401766
HG03125	eichler	5862	17280815	5813	20239668	2804072988.0	2805462913.0	2792846762.0	2795559333.0	2815842213.0	2623624876.0	148858854.0	2772483730.0	F			0.9482739579616609
HG03371	eichler	2019	33441502	2045	32007876	2807555086.0	2808768280.0	2795060945.0	2797625365.0	2816196089.0	2615665711.0	2737615.0	2625041966.0	M	3999042.0	2639598.0	0.8978443797447567
HG03486	eichler	6634	17546847	6619	18556949	2806390944.0	2807499331.0	2790329898.0	2793061365.0	2812007263.0	2623108581.0	148275419.0	2771384000.0	F			0.9478978167751483
HG03683	eichler	1860	33959409	1818	33419983	2799663213.0	2799621518.0	2788963459.0	2788318290.0	2805612584.0	2622212794.0	149452175.0	2771664969.0	F			0.947993916738806
HG03732	eichler	2523	26455470	2508	28986947	2800959718.0	2803108949.0	2790636180.0	2793814475.0	2813205179.0	2614484537.0	1728675.0	2619518589.0	M	2501187.0	804190.0	0.895955216424363
NA12329	eichler	2152	30540687	2180	33088290	2796741760.0	2796112935.0	2786175806.0	2785516844.0	2802586739.0	2620000197.0	149105714.0	2769105911.0	F			0.947118640887029
NA12878	eichler	10136	20968618	10406	18492005	2787975899.0	2787950741.0	2782626491.0	2782654088.0	2799156938.0	2618235805.0	147807188.0	2766042993.0	F			0.9460710295545103
NA18534	eichler	2261	27047529	2311	27980516	2802818735.0	2803809188.0	2794141813.0	2795288333.0	2814572759.0	2617450405.0	1836369.0	2623542674.0	M	3057948.0	1197952.0	0.8973315761731447
NA18939	eichler	1981	33087429	2090	29370022	2797001834.0	2795554962.0	2785516290.0	2785168312.0	2802682235.0	2619001934.0	148995275.0	2767997209.0	F			0.9467394310029948
NA19238	eichler	2086	26788255	2128	28228235	2801154649.0	2802571377.0	2789998308.0	2789800344.0	2807657290.0	2622891410.0	149156766.0	2772048176.0	F			0.9481249852153047
NA19239	eichler	2772	28202841	2725	29518120	2803069114.0	2803280416.0	2793912283.0	2793842321.0	2813579118.0	2615310086.0	2327985.0	2623834081.0	M	3814333.0	2381677.0	0.8974312462510167
NA19240	eichler	3010	28893679	3009	29350757	2793172599.0	2790327628.0	2784508846.0	2781412749.0	2801267912.0	2615279330.0	149374353.0	2764653683.0	F			0.9455958431798238
NA19650	eichler	2188	25650380	2159	23796933	2804017102.0	2806051226.0	2793764008.0	2795752381.0	2817071213.0	2613229365.0	3090652.0	2623358557.0	M	4481588.0	2556952.0	0.8972686025461298
NA19983	eichler	1454	40327815	1465	35517528	2798826655.0	2796678004.0	2787714839.0	2786750055.0	2803583930.0	2621297818.0	149574228.0	2770872046.0	F			0.9477227128996517
