mat	pat	mat_1x	pat_1x	diploid	auto	chrX	final	project	sample	sex	chrY	PARchrX
2802512086	2802845737	2789506233	2790710049	2809555401	2622223539	148338260	2770561799	li	HG00733	F		
2804072988	2805462913	2792846762	2795559333	2815842213	2623624876	148858854	2772483730	eichler	HG03125	F		
2842071604	2843282730	2820172774	2824059467	2834014412	2660552442	149665379	2810217821	hprc	HG02257	F		
2718388169	2842479961	2695715244	2820423432	2855377588	2658249414	147563473	2826906412	hprc	HG03492	M	18773463.0	2320062.0
2844554217	2844178555	2820885125	2819807634	2837414524	2653228640	150043330	2803271970	hprc	HG01071	F		
2791487793	2790161959	2782281332	2781408930	2799954195	2614603549	149094151	2763697700	eichler	HG00171	F		
2804848627	2805568576	2793245151	2795744784	2817979710	2613252402	3879127	2625069726	eichler	HG03009	M	5354974.0	2583223.0
2845025039	2843070419	2825544661	2821971112	2837762679	2660753917	148930810	2809684727	hprc	HG02080	F		
2796741760	2796112935	2786175806	2785516844	2802586739	2620000197	149105714	2769105911	eichler	NA12329	F		
2809087589	2810875140	2799467489	2800424691	2819531304	2619848409	1216891	2627042091	eichler	HG00731	M	3406334.0	2570457.0
2844043488	2843914991	2823978522	2822417256	2836221629	2660913921	149255025	2810168946	hprc	HG02148	F		
2807555086	2808768280	2795060945	2797625365	2816196089	2615665711	2737615	2625041966	eichler	HG03371	M	3999042.0	2639598.0
2716976597	2845258594	2696747506	2830118739	2858435458	2665399263	147769334	2835825471	hprc	HG01106	M	20005192.0	2651682.0
2786776758	2785955356	2777441354	2776185110	2796884825	2607639052	149095233	2756734285	eichler	HG00514	F		
2845875884	2843925715	2824357742	2820024504	2836488541	2658652995	149088819	2807741814	hprc	HG02630	F		
2718811432	2844842868	2697628725	2824918585	2857755046	2662087428	147928397	2834694737	hprc	HG01928	M	22018453.0	2660459.0
2841447119	2844143927	2811749597	2822057850	2835755402	2649560687	148491358	2798052045	hprc	HG03540	F		
2812611611	2811568537	2804193821	2801487137	2822278571	2623430105	1878543	2631728428	eichler	HG02011	M	3856678.0	2563102.0
2720147062	2844677408	2695636090	2825881711	2857955944	2660642011	147568069	2831599734	hprc	HG01358	M	20780227.0	2609427.0
2843928290	2845053140	2815907677	2819508448	2834698329	2654726751	145985650	2800712401	hprc	HG02622	F		
2844303389	2844135372	2814599110	2812756329	2835146215	2649100686	143058009	2792158695	hprc	HG02886	F		
2844502076	2844470778	2818519379	2821984655	2837461878	2653719213	149322943	2803042156	hprc	HG01891	F		
2806390944	2807499331	2790329898	2793061365	2812007263	2623108581	148275419	2771384000	eichler	HG03486	F		
2800959718	2803108949	2790636180	2793814475	2813205179	2614484537	1728675	2619518589	eichler	HG03732	M	2501187.0	804190.0
2719116900	2841414994	2695692574	2821920162	2856341351	2658519636	147721645	2829372507	hprc	HG01258	M	20546278.0	2584948.0
