chrom	snp	five	fifty	sv	total_len	total_count
chr1	8459022	1120351	243637	56584	106661280	9879594
chr2	8705424	1146265	252150	54681	59660908	10158520
chr3	4755248	731960	191308	38292	47235029	5716808
chr4	5357161	735407	189741	41521	52154387	6323830
chr5	5531397	737733	177497	41859	73559883	6488486
chr6	4264109	700174	174281	42015	53952396	5180579
chr7	7324517	957536	189445	47470	100360411	8518968
chr8	3816457	579221	145720	33355	53332656	4574753
chr9	5800143	692051	134528	30622	37313217	6657344
chr10	4880621	669021	152654	36150	40031777	5738446
chr11	3915453	650499	136984	33398	53882464	4736334
chr12	3278980	574026	140954	32684	35189501	4026644
chr13	2861521	405935	99620	28590	24639454	3395666
chr14	2624123	384273	96079	19488	31675377	3123963
chr15	3990576	482192	100707	20603	46664252	4594078
chr16	5344420	614260	112803	29372	56455468	6100855
chr17	4223269	579211	107777	30641	56128024	4940898
chr18	2514548	329876	79581	21424	23067598	2945429
chr19	2194475	482850	88467	27077	75445373	2792869
chr20	3581198	380980	74030	24823	29002408	4061031
chr21	2897931	283268	51866	16284	17240833	3249349
chr22	3160311	326388	52905	17107	35118186	3556711
chrX	4472263	684554	131596	36466	65669166	5324879
chrY	2457398	173617	14647	3447	10931501	2649109
