sample	project	haplotype	n_contigs	n50
NA19983	eichler	H1	1465	35517528
HG01928	hprc	2	244	54860574
HG01505	eichler	H2	2526	28512550
HG00096	eichler	H2	2185	28196602
HG00735	hprc	2	244	57240366
HG01106	hprc	2	272	50195910
NA20509	eichler	H2	2143	26097768
HG00733	eichler	H2	1624	38077117
HG03486	eichler	H1	6619	18556949
HG00171	eichler	H1	2452	29317192
HG02109	hprc	1	481	24166191
HG02818	eichler	H2	7600	14450795
HG01175	hprc	2	315	36565270
HG03009	eichler	H2	2071	27727038
HG00438	hprc	2	258	56346258
HG005	hprc	1	682	59439096
NA12878	li	H1	9334	20093541
HG03486	hprc	2	480	24320580
HG00733	hprc	1	681	41705652
HG01358	hprc	2	334	49776303
NA21309	hprc	1	608	17870629
HG03492	hprc	1	618	20223849
HG01891	hprc	2	331	87239510
NA12878	eichler	H2	10136	20968618
NA19238	eichler	H1	2128	28228235
NA12878	eichler	H1	10406	18492005
NA19238	eichler	H2	2086	26788255
HG01891	hprc	1	427	59998234
HG03492	hprc	2	495	19113774
HG02109	hprc	2	445	23571898
HG02818	eichler	H1	7540	15223809
HG03009	eichler	H1	2251	28343499
HG01175	hprc	1	365	34846907
HG005	hprc	2	503	70607932
HG00438	hprc	1	276	49138847
NA12878	li	H2	9127	19229137
HG03486	hprc	1	519	27204768
HG00171	eichler	H2	2482	29266314
HG00733	hprc	2	609	46109172
HG01358	hprc	1	441	52599478
NA21309	hprc	2	501	20876992
HG00096	eichler	H1	2263	28826430
HG00735	hprc	1	299	55142853
HG01106	hprc	1	284	58165746
HG00733	eichler	H1	1630	33284683
NA20509	eichler	H1	2096	28124099
HG03486	eichler	H2	6634	17546847
HG01928	hprc	1	317	50115675
NA19983	eichler	H2	1454	40327815
HG01505	eichler	H1	2647	28185449
HG03098	hprc	1	445	34831274
HG02572	hprc	1	641	20257892
HG01071	hprc	2	236	50750055
NA19239	eichler	H1	2725	29518120
HG03540	hprc	1	512	35135444
HG03371	eichler	H2	2019	33441502
HG02587	eichler	H2	3604	21553259
HG02080	hprc	2	422	21790360
HG02486	hprc	1	342	64610041
HG02148	hprc	2	423	40992292
HG00621	hprc	2	253	50348198
HG02630	hprc	1	532	29358606
HG02257	hprc	2	292	63974109
HG01596	eichler	H1	3515	19077094
HG03683	eichler	H2	1860	33959409
HG02886	hprc	1	503	29952225
