chrom	start	end	name	HG00096	HG00171	HG002	HG00438	HG005	HG00512	HG00513	HG00514	HG00621	HG00673	HG00731	HG00732	HG00733	HG00735	HG00741	HG00864	HG01071	HG01106	HG01109	HG01114	HG01123	HG01175	HG01243	HG01258	HG01358	HG01361	HG01505	HG01596	HG01891	HG01928	HG01952	HG01978	HG02011	HG02055	HG02080	HG02109	HG02145	HG02148	HG02257	HG02486	HG02492	HG02559	HG02572	HG02587	HG02622	HG02630	HG02717	HG02723	HG02818	HG02886	HG03009	HG03065	HG03098	HG03125	HG03371	HG03453	HG03486	HG03492	HG03516	HG03540	HG03579	HG03683	HG03732	NA12329	NA12878	NA18534	NA18906	NA18939	NA19238	NA19239	NA19240	NA19650	NA19983	NA20129	NA20509	NA20847	NA21309	NA24385	PGP1	ei:HG00733	ei:HG02818	ei:HG03486	ei:NA19240	li:HG00733	li:NA12878	li:NA24385
chrY	25884581	25884724	DYF387S1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0
chrY	9684380	9684443	DYS19	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,1,1	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,0,0	2,2,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1
chrY	18680632	18680687	DYS385a	1,1,1,1	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2,2,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,1,1	1,1,0,0	0,0,0,0	1,1,0,0	2,2,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	2,2,0,0	1,1,1,1	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2,2,2,2	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2,2,2,2	0,0,0,0	0,0,0,0	0,0,1,1	0,0,0,0	0,0,0,0	0,0,1,1	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2,2,1,1
chrY	18639713	18639756	DYS385b	0,0,1,1	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2,2,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,1,1	0,0,1,1	0,0,0,0	1,1,0,0	2,2,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	2,2,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,2,2
chrY	12500448	12500495	DYS389I	1,1,1,1	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,1,1	1,1,1,1	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,1,1	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,2,2	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1,1,0,0	0,0,0,0	2,2,2,2	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1
chrY	12500448	12500611	DYS389II	1,1,1,1	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,1,1	1,1,1,1	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,1,1	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,2,2	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1,1,0,0	0,0,0,0	2,2,2,2	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1
chrY	15163067	15163162	DYS390	1,1,1,1	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,1,1	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1,1,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1
chrY	11982089	11982132	DYS391	1,1,1,1	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,1,1	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1,1,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1
chrY	20471987	20472025	DYS392	1,1,1,1	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,1,1	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,1,1	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	1,1,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	0,0,0,0	0,0,0,0	1,1,1,1	1,1,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1
chrY	3263111	3263158	DYS393	1,1,1,1	0,0,0,0	0,0,1,1	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,1,1	0,0,1,1	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	1,1,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	1,1,2,2	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,1,1	1,1,0,0	0,0,0,0	0,0,1,1	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,0,0	1,1,0,0	0,0,0,0	0,0,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,1,1	0,0,0,0	0,0,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	1,1,1,1	0,0,1,1	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,0,0	0,0,1,1
